,0
0,folds
1,norm_phe
2,strain
3,protein
4,Gm01_3321482
5,Gm01_4755976
6,Gm01_8340015
7,Gm01_9714061
8,Gm01_10510009
9,Gm01_28793495
10,Gm01_34588039
11,Gm01_38475026
12,Gm01_38891638
13,Gm01_38919120
14,Gm01_39354140
15,Gm01_39591768
16,Gm01_39642734
17,Gm01_39831714
18,Gm01_39853236
19,Gm01_40577463
20,Gm01_40624109
21,Gm01_41204902
22,Gm01_41873812
23,Gm01_41904086
24,Gm01_42085990
25,Gm01_42204672
26,Gm01_42629908
27,Gm01_43040014
28,Gm01_43068540
29,Gm01_43140215
30,Gm01_43216800
31,Gm01_43514372
32,Gm01_43645223
33,Gm01_43770219
34,Gm01_43796439
35,Gm01_43822355
36,Gm01_43856898
37,Gm01_43878915
38,Gm01_43905376
39,Gm01_43956122
40,Gm01_43979136
41,Gm01_44034244
42,Gm01_44127031
43,Gm01_44196291
44,Gm01_44260009
45,Gm01_44395542
46,Gm01_44427389
47,Gm01_44553966
48,Gm01_44639502
49,Gm01_44716333
50,Gm01_44766507
51,Gm01_44785197
52,Gm01_44832947
53,Gm01_44893034
54,Gm01_44922432
55,Gm01_44944261
56,Gm01_45053878
57,Gm01_45119676
58,Gm01_45145490
59,Gm01_45171495
60,Gm01_45193520
61,Gm01_45275480
62,Gm01_45794251
63,Gm01_46002295
64,Gm01_47026025
65,Gm01_47209247
66,Gm01_47749524
67,Gm01_47810398
68,Gm01_47818521
69,Gm01_47824189
70,Gm01_47842495
71,Gm01_47851822
72,Gm01_47864576
73,Gm01_47870156
74,Gm01_47876381
75,Gm01_47889672
76,Gm01_47901802
77,Gm01_47915539
78,Gm01_47982314
79,Gm01_47993748
80,Gm01_48032636
81,Gm01_48057849
82,Gm01_48079606
83,Gm01_48087738
84,Gm01_48126639
85,Gm01_48156192
86,Gm01_48169617
87,Gm01_48181071
88,Gm01_48193736
89,Gm01_48205471
90,Gm01_48234345
91,Gm01_48256496
92,Gm01_48277644
93,Gm01_48283025
94,Gm01_48301707
95,Gm01_48319214
96,Gm01_48326572
97,Gm01_48362668
98,Gm01_48369235
99,Gm01_48378046
100,Gm01_48388245
101,Gm01_48402547
102,Gm01_48408553
103,Gm01_48419598
104,Gm01_48424768
105,Gm01_48443171
106,Gm01_48459384
107,Gm01_48468828
108,Gm01_48517340
109,Gm01_48539020
110,Gm01_48649094
111,Gm01_49107644
112,Gm01_49143494
113,Gm01_49287924
114,Gm01_49315885
115,Gm01_49332605
116,Gm01_49340027
117,Gm01_49400367
118,Gm01_49411627
119,Gm01_49641478
120,Gm01_49683093
121,Gm01_49699030
122,Gm01_49708343
123,Gm01_49735577
124,Gm01_49765591
125,Gm01_49887345
126,Gm01_49906841
127,Gm01_49920815
128,Gm01_49928390
129,Gm01_49978110
130,Gm01_50013092
131,Gm01_50023158
132,Gm01_50050678
133,Gm01_50059633
134,Gm01_50089892
135,Gm01_50100192
136,Gm01_50120870
137,Gm01_50128257
138,Gm01_50148745
139,Gm01_50157263
140,Gm01_50171046
141,Gm01_50182355
142,Gm01_50213521
143,Gm01_50228409
144,Gm01_50268510
145,Gm01_50420411
146,Gm01_50435152
147,Gm01_50829317
148,Gm01_50895975
149,Gm01_50911939
150,Gm01_51320976
151,Gm01_51329895
152,Gm01_51353906
153,Gm01_51399673
154,Gm01_51446966
155,Gm01_51453041
156,Gm01_51512797
157,Gm01_52577638
158,Gm01_52638715
159,Gm01_52644359
160,Gm01_52661309
161,Gm01_52673010
162,Gm01_52689270
163,Gm01_52699979
164,Gm01_52711625
165,Gm01_52728684
166,Gm01_52745936
167,Gm01_52953101
168,Gm01_54415815
169,Gm01_55496822
170,Gm01_55570976
171,Gm01_55624404
172,Gm01_55651617
173,Gm01_55664500
174,Gm01_55672816
175,Gm01_55692916
176,Gm01_55700872
177,Gm01_55709687
178,Gm01_55719252
179,Gm01_55726233
180,Gm01_55731797
181,Gm01_55738248
182,Gm01_55766326
183,Gm01_55776600
184,Gm01_55783148
185,Gm01_55796676
186,Gm01_55804326
187,Gm01_55816096
188,Gm01_55823137
189,Gm01_55832080
190,Gm01_55844217
191,Gm01_55868627
192,Gm01_55880847
193,Gm01_55903043
194,Gm02_180036
195,Gm02_830849
196,Gm02_918708
197,Gm02_2186670
198,Gm02_3058781
199,Gm02_3100048
200,Gm02_3579235
201,Gm02_3843135
202,Gm02_3907076
203,Gm02_3924607
204,Gm02_3939357
205,Gm02_3960728
206,Gm02_3977496
207,Gm02_3994073
208,Gm02_4098441
209,Gm02_4273951
210,Gm02_4305591
211,Gm02_4329021
212,Gm02_4376350
213,Gm02_4394769
214,Gm02_4657002
215,Gm02_4704508
216,Gm02_4802362
217,Gm02_4820233
218,Gm02_4899879
219,Gm02_4925597
220,Gm02_4971543
221,Gm02_4994523
222,Gm02_5035934
223,Gm02_5202358
224,Gm02_5226992
225,Gm02_5261478
226,Gm02_5299205
227,Gm02_5360523
228,Gm02_5410965
229,Gm02_5430403
230,Gm02_5444809
231,Gm02_5467310
232,Gm02_5496879
233,Gm02_5529675
234,Gm02_5565439
235,Gm02_5591380
236,Gm02_5620490
237,Gm02_5653303
238,Gm02_5694643
239,Gm02_5744953
240,Gm02_5799115
241,Gm02_5813352
242,Gm02_5833846
243,Gm02_5850082
244,Gm02_5930130
245,Gm02_5946680
246,Gm02_6011261
247,Gm02_6027712
248,Gm02_6049837
249,Gm02_6078108
250,Gm02_6148670
251,Gm02_6197954
252,Gm02_6251416
253,Gm02_6286649
254,Gm02_6329924
255,Gm02_6357453
256,Gm02_6396340
257,Gm02_6416950
258,Gm02_6435496
259,Gm02_6455703
260,Gm02_6472987
261,Gm02_6496009
262,Gm02_6529620
263,Gm02_6564291
264,Gm02_6952838
265,Gm02_6984267
266,Gm02_7026446
267,Gm02_7112521
268,Gm02_7279747
269,Gm02_7350881
270,Gm02_7439248
271,Gm02_7839398
272,Gm02_7897473
273,Gm02_7925967
274,Gm02_7977682
275,Gm02_8067031
276,Gm02_8082377
277,Gm02_8120391
278,Gm02_8155071
279,Gm02_8179402
280,Gm02_8227995
281,Gm02_8253391
282,Gm02_8288592
283,Gm02_8373589
284,Gm02_8398668
285,Gm02_9601063
286,Gm02_10102169
287,Gm02_10153027
288,Gm02_10181456
289,Gm02_10205127
290,Gm02_10219980
291,Gm02_10235192
292,Gm02_10266340
293,Gm02_10287548
294,Gm02_10334965
295,Gm02_10358223
296,Gm02_10540701
297,Gm02_10632293
298,Gm02_10694271
299,Gm02_10725925
300,Gm02_10758063
301,Gm02_10776761
302,Gm02_10791907
303,Gm02_10851551
304,Gm02_10869096
305,Gm02_10915211
306,Gm02_10952752
307,Gm02_10973353
308,Gm02_10989772
309,Gm02_11072779
310,Gm02_11090560
311,Gm02_11139774
312,Gm02_11178406
313,Gm02_11210862
314,Gm02_11243759
315,Gm02_11378219
316,Gm02_11421379
317,Gm02_11464884
318,Gm02_11510602
319,Gm02_11535155
320,Gm02_11625055
321,Gm02_11721464
322,Gm02_12028627
323,Gm02_12049715
324,Gm02_12069296
325,Gm02_12117116
326,Gm02_12140946
327,Gm02_12159762
328,Gm02_12240559
329,Gm02_13102626
330,Gm02_13482571
331,Gm02_13521441
332,Gm02_13573779
333,Gm02_13681450
334,Gm02_13904897
335,Gm02_13922555
336,Gm02_13939428
337,Gm02_14008988
338,Gm02_14036675
339,Gm02_14051564
340,Gm02_14076032
341,Gm02_14095240
342,Gm02_14114204
343,Gm02_14206941
344,Gm02_14238670
345,Gm02_14262652
346,Gm02_14433210
347,Gm02_14516835
348,Gm02_14548975
349,Gm02_14586948
350,Gm02_14693206
351,Gm02_14731947
352,Gm02_14759913
353,Gm02_14798101
354,Gm02_15206590
355,Gm02_43710062
356,Gm02_43822930
357,Gm02_44721205
358,Gm02_45229965
359,Gm02_45298949
360,Gm02_45366373
361,Gm02_45381837
362,Gm02_45403074
363,Gm02_45451301
364,Gm02_45484363
365,Gm02_45498457
366,Gm02_45551747
367,Gm02_45576930
368,Gm02_45638104
369,Gm02_45691796
370,Gm02_45708548
371,Gm02_45726162
372,Gm02_45767224
373,Gm02_45783433
374,Gm02_45865515
375,Gm02_45884216
376,Gm02_45932914
377,Gm02_46010086
378,Gm02_46025695
379,Gm02_46093017
380,Gm02_46120953
381,Gm02_46183461
382,Gm02_47382887
383,Gm02_47477220
384,Gm02_47512710
385,Gm02_47541232
386,Gm02_47593467
387,Gm02_47684621
388,Gm02_47803503
389,Gm02_47847632
390,Gm02_47883707
391,Gm02_48117364
392,Gm02_48155438
393,Gm02_48193435
394,Gm02_48226137
395,Gm02_48292806
396,Gm02_48320261
397,Gm02_48345475
398,Gm02_48371970
399,Gm02_48560715
400,Gm02_48584189
401,Gm02_48692694
402,Gm02_48709917
403,Gm02_49142714
404,Gm02_49323313
405,Gm02_49371792
406,Gm02_49397030
407,Gm02_49418627
408,Gm02_49458531
409,Gm02_49474297
410,Gm02_49495597
411,Gm02_49512012
412,Gm02_49542734
413,Gm02_49991787
414,Gm02_50027787
415,Gm02_50204121
416,Gm02_50228376
417,Gm02_50248315
418,Gm02_50268621
419,Gm02_50390593
420,Gm02_50434179
421,Gm02_50510606
422,Gm03_7163
423,Gm03_140242
424,Gm03_172818
425,Gm03_192792
426,Gm03_216599
427,Gm03_249247
428,Gm03_275381
429,Gm03_294547
430,Gm03_331423
431,Gm03_426154
